Store_Name,Store_Type,Store_Street_Address,City,State,Zip_Code,County,Latitude,Longitude
HEB Food Store 799,Supermarket,7330 N Loop 1604 W,San Antonio,TX,78249,BEXAR,29.5861,-98.634132
La Michoacana Meat Market Sa 4,Supermarket,100 Crossroads Blvd,Balcones Heights,TX,78201,BEXAR,29.489737,-98.550354
La Michoacana Meat Market San Antonio 7,Supermarket,13107 Nacogdoches Rd,San Antonio,TX,78217,BEXAR,29.560322,-98.394867
HEB Food Store 613,Supermarket,8219 Marbach Rd,San Antonio,TX,78227,BEXAR,29.420151,-98.652466
HEB Food Store #793 793,Supermarket,29388 Interstate 10 W,Boerne,TX,78006,BEXAR,29.73143,-98.678627
La Michoacana Meat Market Antonio 13,Supermarket,3310 S Zarzamora St,San Antonio,TX,78225,BEXAR,29.390627,-98.532547
Culebra Super Meat Market 22,Supermarket,9107 Marbach Rd,San Antonio,TX,78245,BEXAR,29.417877,-98.664772
HEB Food Store 372,Supermarket,1955 Nacogdoches Rd,San Antonio,TX,78209,BEXAR,29.507626,-98.458328
Molinas 1,Supermarket,700 N Alamo St,San Antonio,TX,78215,BEXAR,29.431358,-98.482346
Arlan's Market #17,Supermarket,3614 Pleasanton Rd,San Antonio,TX,78221,BEXAR,29.34317,-98.502876
HEB Food Store 807,Supermarket,15489 Culebra Rd,San Antonio,TX,78253,BEXAR,29.523596,-98.803764
