CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LowIncomeTracts,LA1and10,LAhalfand10,PovertyRate,MedianFamilyIncome,lapop1share
48029151500,Texas,Bexar County,0,0,1,0,0,16.1085653859711,47722.0,
48029151600,Texas,Bexar County,0,1,1,0,1,23.1989924433249,43088.0,6.15801050279892
48029151700,Texas,Bexar County,1,1,1,1,1,21.193499931722002,56600.0,54.0942211439827
48029151900,Texas,Bexar County,1,1,1,1,1,19.1495601173021,51573.0,100.000000267054
48029152000,Texas,Bexar County,0,0,1,0,0,29.6407185628743,53269.0,100.000000132499
48029152100,Texas,Bexar County,0,0,1,0,0,23.6287758346582,58977.0,92.2702177282963
48029152201,Texas,Bexar County,0,0,1,0,0,31.073074391046703,52727.0,82.9428137951314
48029152202,Texas,Bexar County,0,0,1,0,0,12.1427163414153,54877.0,100.00000172871299
48029160100,Texas,Bexar County,0,1,1,0,1,44.179229480737,25820.0,
48029160200,Texas,Bexar County,0,0,1,0,0,13.756260434056799,36979.0,
48029160300,Texas,Bexar County,0,1,1,0,1,25.4576659038902,38333.0,
48029160400,Texas,Bexar County,0,1,1,0,1,31.8303479514103,43321.0,6.54544559047231
48029160501,Texas,Bexar County,0,1,1,0,1,56.0299295774648,19375.0,5.5688907603833
48029160502,Texas,Bexar County,1,1,1,1,1,32.678956188652094,32475.0,22.1913841105788
48029160600,Texas,Bexar County,0,1,1,0,1,38.5551330798479,33841.0,
48029160701,Texas,Bexar County,1,1,1,1,1,25.0657548658601,42944.0,60.435275856915105
48029160702,Texas,Bexar County,1,1,1,1,1,34.2525675161658,34575.0,78.8359257849462
48029160901,Texas,Bexar County,1,1,1,1,1,25.349301397205597,44777.0,23.5983619157945
48029160902,Texas,Bexar County,1,1,1,1,1,30.314126035845103,35787.0,85.8152499340502
48029161000,Texas,Bexar County,1,1,1,1,1,38.0009657170449,28719.0,76.5181752845928
48029161100,Texas,Bexar County,1,1,1,1,1,18.4225610455119,43643.0,96.4664963478702
